,Geography,AR_White,AR_Black,AR_Asian,AR_Other,AR_Mixed
0,Avon and Somerset,0.14527337218118166,0.4326761722937687,0.14336444685909094,0.08940419977763667,0.2464741033084766
1,Bedfordshire,0.20644573958682866,0.4927141676142013,0.2253237630657144,0.18567641138788374,0.41521065343978913
2,Cambridgeshire,0.24936835027323367,0.8738501692885267,0.24989532701102043,0.12150401086581482,0.40793476959700703
3,Cheshire,0.0875635726179494,0.4313840477031721,0.09791327421767111,0.11880313679714696,0.06682361616324778
4,Cleveland,0.8866759710995932,1.63602156773127,0.6845218247289728,0.6858562928780536,0.7480092844915385
5,Cumbria,0.22361646958737869,0.6681784297711169,0.191836557992417,0.16069587158358326,0.12875243305294085
6,Derbyshire,0.1542633738855751,0.5075203524633377,0.2172762657786557,0.2243723503651946,0.30593324754976225
7,Devon and Cornwall,0.11821218986899332,0.6084916334531971,0.14347095992565487,0.08439086175892237,0.13370019292963467
8,Dorset,0.21176884837074653,1.4634693249051582,0.17923545621194722,0.18819183612075718,0.3075250990702825
9,Durham,0.10103884770184154,0.251852644336938,0.09862551803557085,0.07328385525535765,0.10025172139750779
10,Dyfed-Powys,0.3485064362800289,1.3991897667670135,0.1844557166331996,0.24160702816129176,0.10689740753948017
11,Essex,0.05632130045974137,0.15877614299784049,0.062144105461972125,0.055514088733355775,0.08572592044244906
12,Gloucestershire,0.12014595395881267,0.7059882743037025,0.14742274636299152,0.2595521721249669,0.2890232574873901
13,Greater Manchester,0.30052703991036117,0.5687423145981175,0.2462762345110811,0.1698575108069261,0.4873553083804005
14,Gwent,0.3201868325537077,1.1351177977012057,0.5953257610160921,0.34145625272036734,0.4638040573126781
15,Hampshire,0.2299019741546276,0.764825658190772,0.16698604492334587,0.22041925609889734,0.2603986254509723
16,Hertfordshire,0.12174110224360134,0.36073742963256245,0.10888361612507436,0.10150252029169385,0.2349449517404501
17,Humberside,0.15991504631283304,0.4179890698013764,0.21466021667680696,0.15919256406610915,0.1769622829505633
18,Kent,0.08448476966866614,0.273335302758713,0.08136446805873657,0.24482732621545614,0.08186204899723787
19,Lancashire,0.3674641911905234,0.6044941052238494,0.23003552036156197,0.07437924345579844,0.5885897904550321
20,Leicestershire,0.32855100298142875,0.9283363809465242,0.2658588035246444,0.2164142375938204,0.5460427301426699
21,Lincolnshire,0.21651770930190692,0.646193432467105,0.24719205660337218,0.7074719220318108,0.2570680658239493
22,Merseyside,0.40986037157086497,1.0401705371330519,0.2912473997678215,0.35315293754067273,0.36085382625529605
23,Metropolitan Police,0.9631233613234886,2.4161512055864374,0.8565865896954908,0.8906442855236436,1.3887316100917468
24,Norfolk,0.2552958846813446,1.5012455476368936,0.21576854264153508,0.2525863607607853,0.2990263936629758
25,North Wales,0.13813291243479958,0.359026118187082,0.06802142654242194,0.0922926224570935,0.06043503685274947
26,North Yorkshire,0.08883127195178064,0.16513491824106333,0.05606848372384568,0.11284081355513535,0.01369330419753398
27,Northamptonshire,0.21782099966424306,0.6684523492941286,0.25960352951771865,0.23784771820727305,0.33117674657391405
28,Northumbria,0.30241046401254307,0.41720796866699933,0.221048632596917,0.060977333006535815,0.15898949685692937
29,Nottinghamshire,0.10282596330119337,0.28661522636181996,0.1042428663119782,0.06102237590863925,0.17611337421260947
30,South Wales,0.1571792654891912,0.3900832029816366,0.11250001629195597,0.11498072711761499,0.16908230801268426
31,South Yorkshire,0.2405899914742021,0.5942756771067925,0.24300651735760606,0.16509731394491778,0.204812523838967
32,Staffordshire,0.1609109312808621,0.5017651805340214,0.23638011101698148,0.19321370883035957,0.32161559522653044
33,Suffolk,0.06670153959416211,0.32547041597726,0.07424820820001363,0.09863396524328732,0.12514276823146475
34,Surrey,0.11287234788467691,0.4401058832011307,0.10177118824675037,0.07267072519296741,0.10467796271682675
35,Sussex,0.24632578798353416,1.3745905696127385,0.2880239728485065,0.23011013343319436,0.3338121315661293
36,Warwickshire,0.12727006533803628,0.5326709736481936,0.13587653637967403,0.09501624928612763,0.3155051074672748
37,West Mercia,0.18743838285200146,0.9389721544294781,0.3453826943821975,0.21641814051048128,0.26587255700443935
38,West Midlands,0.0655097933548456,0.1443186878589371,0.05689492761275532,0.06275085676536124,0.10692972235778167
39,West Yorkshire,0.17972239949789917,0.3477460852294413,0.1658274681109401,0.12413086440317059,0.34689638490404906
40,Wiltshire,0.11738057279031097,0.6151561196980604,0.10312411951952928,0.15210833371546828,0.2616742418394687
