,Geography,White,Black,Asian,Other,Mixed
0,Avon and Somerset,1491970,30923,33005,15380,28277
1,Bedfordshire,476647,29725,81480,8753,18456
2,Cambridgeshire,726531,10174,39535,12572,16029
3,Cheshire,995998,3264,12794,5230,10423
4,Cleveland,526456,3156,17419,4434,5762
5,Cumbria,492257,579,2913,1605,2504
6,Derbyshire,949845,10090,36871,7281,14351
7,Devon and Cornwall,1627306,4106,11694,9467,15645
8,Dorset,714637,3208,10694,5995,9507
9,Durham,605364,1058,5114,3030,4240
10,Dyfed-Powys,504714,856,4274,2008,3262
11,Essex,1608308,34679,38954,15374,27635
12,Gloucestershire,569647,5150,10522,3004,8661
13,Greater Manchester,2248123,74097,246094,53504,60710
14,Gwent,554377,3185,10076,3569,5547
15,Hampshire,1771378,17445,57352,20911,30905
16,Hertfordshire,977495,31401,64119,15550,27497
17,Humberside,885279,4499,12191,7493,8185
18,Kent,1607681,22879,54186,15636,27283
19,Lancashire,1320035,5377,108784,10397,16300
20,Leicestershire,797704,24623,155740,19110,20520
21,Lincolnshire,696484,2561,5579,2839,6190
22,Merseyside,1305303,14552,18851,21529,20954
23,Metropolitan Police,4881636,1088447,1386619,404874,404990
24,Norfolk,828018,4609,9809,5425,10027
25,North Wales,670704,1497,6336,4450,4950
26,North Yorkshire,769206,3618,9914,6233,7456
27,Northamptonshire,632822,16923,22581,5444,14182
28,Northumbria,1343747,9006,37782,17871,12447
29,Nottinghamshire,969501,27287,48248,15465,30981
30,South Wales,1198458,12738,35804,18889,17762
31,South Yorkshire,1217653,25752,54660,24745,20791
32,Staffordshire,1032327,8551,35148,7376,14095
33,Suffolk,693195,6854,10972,4670,12472
34,Surrey,1023682,12430,54037,18687,23554
35,Sussex,1505433,14246,40865,16352,30036
36,Thames Valley,1919646,69013,192541,32586,55986
37,Warwickshire,505688,4443,22747,4647,7949
38,West Mercia,1176516,5062,21715,5657,13466
39,West Midlands,1919138,164069,493551,63498,96204
40,West Yorkshire,1819818,46476,280764,30874,48126
41,Wiltshire,642869,6089,17379,4006,9794
